ID;Fase;Pacote;Atividade;Início;Fim;Duração_sem;Status;Entregável;Critério_de_conclusão;Observações
C01;F1;Planejamento;Definir escopo da prova de conceito, restrições da DE1-SoC e critérios mínimos de demonstração;2026-01-05;2026-01-16;2;Concluída;Escopo inicial do projeto;Escopo aprovado e riscos principais registrados;Base para todo o cronograma
C02;F1;Estudo ARM7TDMI;Levantar modos de operação, banco de registradores, exceções, pipeline e conjunto ARM;2026-01-19;2026-02-06;3;Concluída;Resumo técnico ARM7TDMI;Comportamento essencial documentado para orientar o RTL;Usa datasheets ARM como referência
C03;F1;Estudo GBA;Mapear regiões de memória do GBA, larguras de barramento e requisitos de cartucho;2026-01-26;2026-02-13;3;Concluída;Mapa de memória alvo;Regiões BIOS, EWRAM, IWRAM, I/O, VRAM, OAM, Palette, PAK_ROM e PAK_RAM identificadas;Alinha o subsistema de memória
C04;F1;Ambiente;Configurar Quartus, simulação, scripts de montagem e projeto DE1-SoC;2026-02-09;2026-02-20;2;Concluída;Ambiente de desenvolvimento funcional;Projeto sintetizável vazio ou mínimo compila no Quartus;Inclui toolchain arm-none-eabi
C05;F1;Arquitetura;Consolidar arquitetura objetivo, camadas do sistema e plano de validação incremental;2026-02-23;2026-02-27;1;Concluída;Diagrama de arquitetura e plano macro;Arquitetura dividida em CPU, memória, vídeo, entrada, áudio e validação;Marco de fechamento F1
C06;F2;CPU RTL;Implementar banco de registradores com modos privilegiados e registradores espelhados;2026-03-02;2026-03-13;2;Concluída;Módulo de banco de registradores;Leituras, escritas e troca de modo passam em simulação;Base do núcleo ARM7TDMI
C07;F2;CPU RTL;Implementar ALU, flags NZCV, barrel shifter e multiplicador 32x32;2026-03-09;2026-03-27;3;Concluída;Blocos operacionais do datapath;Operações aritméticas, lógicas, shift e multiply passam em testes dirigidos;Atividade sobreposta ao banco de registradores
C08;F2;CPU RTL;Implementar decodificação e controle multi-ciclo para instruções ARM;2026-03-23;2026-04-10;3;Concluída;Decoder ARM integrado ao datapath;Programas ARM simples executam até fim esperado;Inclui loads, stores, branches e operações de dados
C09;F2;CPU RTL;Implementar suporte Thumb e transição entre estados ARM e Thumb;2026-04-06;2026-04-17;2;Concluída;Decoder Thumb integrado;Programas Thumb de regressão executam corretamente;Mantém compatibilidade com o banco de registradores
C10;F2;Exceções;Implementar Reset, SWI, Undefined, Abort, IRQ e FIQ;2026-04-13;2026-04-24;2;Concluída;Tratamento completo de exceções;Vetores, SPSR, CPSR e retorno de exceção passam em testes;Necessário para interrupções futuras
C11;F2;Validação CPU;Criar e executar programas de teste ARM e Thumb com geração de HEX/MIF;2026-04-20;2026-04-30;2;Concluída;Conjunto de programas de regressão;Testes em simulação e hardware cobrem instruções críticas;Inclui uso de scripts em assembly_code
C12;F2;Hardware CPU;Sintetizar núcleo na DE1-SoC e validar com SignalTap e displays HEX;2026-04-27;2026-05-01;1;Concluída;Demonstração intermediária da CPU;Execução observável em placa e sem erros críticos de síntese;Marco de fechamento F2
C13;F2;Documentação;Atualizar monografia e material intermediário com estado da CPU;2026-04-27;2026-05-08;2;Concluída;Texto e figuras da entrega intermediária;Documento descreve implementação e validação da Camada 1;Pode ser refinado até a entrega final
C14;F3;Memória interna;Implementar ou revisar módulos BIOS, EWRAM, IWRAM, I/O, Palette, VRAM, OAM e Cart RAM;2026-05-04;2026-05-15;2;Concluída;Módulos de região sintetizáveis;Cada região responde no endereço esperado e com largura correta;Considera latência de leitura existente
C15;F3;Barramento;Implementar bus_controller com decodificação por região, MAS e mux de leitura;2026-05-11;2026-05-22;2;Concluída;Controlador de barramento integrado;Acesso byte, halfword e word seleciona região e dados corretos;Mantém clock_n para módulos de memória
