EDT;ID;Fase;Pacote;Atividade;Início;Fim;Duração_sem;Status;Entregável;S01_2026-01-05;S02_2026-01-12;S03_2026-01-19;S04_2026-01-26;S05_2026-02-02;S06_2026-02-09;S07_2026-02-16;S08_2026-02-23;S09_2026-03-02;S10_2026-03-09;S11_2026-03-16;S12_2026-03-23;S13_2026-03-30;S14_2026-04-06;S15_2026-04-13;S16_2026-04-20;S17_2026-04-27;S18_2026-05-04;S19_2026-05-11;S20_2026-05-18;S21_2026-05-25;S22_2026-06-01;S23_2026-06-08;S24_2026-06-15;S25_2026-06-22;S26_2026-06-29;S27_2026-07-06;S28_2026-07-13;S29_2026-07-20;S30_2026-07-27;S31_2026-08-03;S32_2026-08-10;S33_2026-08-17;S34_2026-08-24;S35_2026-08-31;S36_2026-09-07;S37_2026-09-14;S38_2026-09-21;S39_2026-09-28;S40_2026-10-05;S41_2026-10-12;S42_2026-10-19;S43_2026-10-26;S44_2026-11-02;S45_2026-11-09;S46_2026-11-16;S47_2026-11-23;S48_2026-11-30;S49_2026-12-07;S50_2026-12-14;S51_2026-12-21;S52_2026-12-28
F1;;F1;Estudo e arquitetura;F1 - Estudo e arquitetura;2026-01-05;2026-02-27;8;Resumo;Conjunto de entregáveis da fase;#;#;#;#;#;#;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1.1;C01;F1;Planejamento;Definir escopo da prova de conceito, restrições da DE1-SoC e critérios mínimos de demonstração;2026-01-05;2026-01-16;2;Concluída;Escopo inicial do projeto;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1.2;C02;F1;Estudo ARM7TDMI;Levantar modos de operação, banco de registradores, exceções, pipeline e conjunto ARM;2026-01-19;2026-02-06;3;Concluída;Resumo técnico ARM7TDMI;;;C;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1.3;C03;F1;Estudo GBA;Mapear regiões de memória do GBA, larguras de barramento e requisitos de cartucho;2026-01-26;2026-02-13;3;Concluída;Mapa de memória alvo;;;;C;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1.4;C04;F1;Ambiente;Configurar Quartus, simulação, scripts de montagem e projeto DE1-SoC;2026-02-09;2026-02-20;2;Concluída;Ambiente de desenvolvimento funcional;;;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1.5;C05;F1;Arquitetura;Consolidar arquitetura objetivo, camadas do sistema e plano de validação incremental;2026-02-23;2026-02-27;1;Concluída;Diagrama de arquitetura e plano macro;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;;F2;Núcleo ARM7TDMI;F2 - Núcleo ARM7TDMI;2026-03-02;2026-05-08;10;Resumo;Conjunto de entregáveis da fase;;;;;;;;;#;#;#;#;#;#;#;#;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2.1;C06;F2;CPU RTL;Implementar banco de registradores com modos privilegiados e registradores espelhados;2026-03-02;2026-03-13;2;Concluída;Módulo de banco de registradores;;;;;;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2.2;C07;F2;CPU RTL;Implementar ALU, flags NZCV, barrel shifter e multiplicador 32x32;2026-03-09;2026-03-27;3;Concluída;Blocos operacionais do datapath;;;;;;;;;;C;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2.3;C08;F2;CPU RTL;Implementar decodificação e controle multi-ciclo para instruções ARM;2026-03-23;2026-04-10;3;Concluída;Decoder ARM integrado ao datapath;;;;;;;;;;;;C;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
